Código IBGE;Municípios;Microrregião;Estado;Região Geográfica;Área Km²;População;Domicílios;PIB Total (R$ mil);IDH - Índice de Desenv. Humano;Renda Média;Renda Nominal;PEA Dia;IDH - Dimensão Educação;IDH - Dimensão Longevidade
5200050;Abadia de Goiás;Goiânia;GO;Centro-Oeste;146,78;8.958,00;2.897,70;227.500,09;0,708;3.462,85;10.034.295,86;5.332,00;0,622;0,83
5200100;Abadiânia;Entorno de Brasília;GO;Centro-Oeste;1.045,13;20.461,00;6.281,76;316.431,66;0,689;3.248,82;20.408.330,86;8.777,00;0,579;0,841
5200134;Acreúna;Vale do Rio dos Bois;GO;Centro-Oeste;1.566,00;22.546,00;7.454,57;671.478,48;0,686;3.494,80;26.052.188,72;10.319,00;0,553;0,822
5200159;Adelândia;Anicuns;GO;Centro-Oeste;115,35;2.516,00;894,37203;36.543,70;0,702;2.956,35;2.644.077,61;1.515,00;0,622;0,836
5200175;Água Fria de Goiás;Entorno de Brasília;GO;Centro-Oeste;2.029,41;5.793,00;1.892,63;255.565,62;0,671;2.609,37;4.938.571,32;3.036,00;0,55;0,817
5200209;Água Limpa;Meia Ponte;GO;Centro-Oeste;452,86;1.830,00;696,13666;45.369,13;0,722;2.907,12;2.023.752,51;1.367,00;0,663;0,821
5200258;Águas Lindas de Goiás;Entorno de Brasília;GO;Centro-Oeste;188,38;217.698,00;63.025,24;1.884.407,89;0,686;3.081,68;194.223.364,73;50.745,00;0,588;0,848
5200308;Alexânia;Entorno de Brasília;GO;Centro-Oeste;847,89;28.010,00;9.091,42;811.322,77;0,682;2.986,65;27.152.869,08;16.629,00;0,568;0,841
5200506;Aloândia;Meia Ponte;GO;Centro-Oeste;102,16;1.986,00;808,15507;41.840,87;0,697;2.987,14;2.414.072,87;1.041,00;0,585;0,834
5200555;Alto Horizonte;Porangatu;GO;Centro-Oeste;503,76;6.605,00;2.222,46;913.009,78;0,719;3.524,40;7.832.857,36;6.581,00;0,624;0,841
5200605;Alto Paraíso de Goiás;Chapada dos Veadeiros;GO;Centro-Oeste;2.593,90;7.688,00;2.458,01;167.586,12;0,713;3.313,49;8.144.587,85;4.139,00;0,611;0,819
5200803;Alvorada do Norte;Vão do Paranã;GO;Centro-Oeste;1.259,36;8.705,00;2.707,39;128.606,34;0,66;2.753,45;7.454.656,74;3.410,00;0,548;0,819
5200829;Amaralina;Porangatu;GO;Centro-Oeste;1.343,17;3.845,00;1.274,42;60.092,54;0,609;1.648,77;2.101.225,86;1.319,00;0,489;0,813
5200852;Americano do Brasil;Anicuns;GO;Centro-Oeste;133,56;6.164,00;2.243,95;67.555,01;0,7;2.941,05;6.599.572,93;2.524,00;0,631;0,813
5200902;Amorinópolis;Iporá;GO;Centro-Oeste;408,53;3.069,00;1.140,89;60.751,25;0,681;2.735,45;3.120.838,36;1.305,00;0,579;0,813
5201108;Anápolis;Anápolis;GO;Centro-Oeste;933,16;391.772,00;127.347,70;14.238.732,24;0,737;4.170,11;531.053.691,96;270.505,00;0,66;0,822
5201207;Anhanguera;Catalão;GO;Centro-Oeste;56,95;1.160,00;415,25703;17.879,60;0,725;3.669,87;1.523.938,09;510;0,657;0,802
5201306;Anicuns;Anicuns;GO;Centro-Oeste;979,23;21.981,00;7.733,07;387.017,37;0,714;3.279,31;25.359.110,96;10.951,00;0,627;0,834
5201405;Aparecida de Goiânia;Goiânia;GO;Centro-Oeste;288,34;590.146,00;184.276,35;13.265.874,72;0,718;3.966,62;730.954.420,53;309.664,00;0,62;0,834
5201454;Aparecida do Rio Doce;Sudoeste de Goiás;GO;Centro-Oeste;602,13;2.474,00;869,91006;74.499,83;0,693;2.674,77;2.326.805,74;1.734,00;0,583;0,814
5201504;Aporé;Sudoeste de Goiás;GO;Centro-Oeste;2.900,16;4.232,00;1.465,11;320.053,40;0,693;3.382,19;4.955.280,41;3.183,00;0,584;0,823
5201603;Araçu;Anápolis;GO;Centro-Oeste;148,94;3.486,00;1.242,55;53.428,93;0,693;2.739,33;3.403.769,95;1.836,00;0,578;0,838
