Código IBGE;Municípios;Microrregião;Estado;Região Geográfica;Área Km²;População;Domicílios;PIB Total (R$ mil);IDH - Índice de Desenv. Humano;Renda Média;Renda Nominal;PEA Dia;IDH - Dimensão Educação;IDH - Dimensão Longevidade; Última Atualização
5200100;Abadiânia;Centro-Oeste;GO;Entorno de Brasília;1.045,13;20.461;6.281,76;316.431,66;0.689;3.248,82;20.408.330,86;8.777,00;0.579;0.841;01/06/2024 01:40:00
5200134;Acreúna;Centro-Oeste;GO;Vale do Rio dos Bois;1.566;22.546;7.454,57;671.478,48;0.686;3.494,80;26.052.188,72;10.319,00;0.553;0.822;01/06/2024 01:40:00
5200159;Adelândia;Centro-Oeste;GO;Anicuns;115,35;2.516;894,37;36.543,70;0.702;2.956,35;2.644.077,61;1.515,00;0.622;0.836;01/06/2024 01:40:00
5200175;Água Fria de Goiás;Centro-Oeste;GO;Entorno de Brasília;2.029,41;5.793;1.892,63;255.565,62;0.671;2.609,37;4.938.571,32;3.036,00;0.55;0.817;01/06/2024 01:40:00
5200209;Água Limpa;Centro-Oeste;GO;Meia Ponte;452,86;100.830;696,14;45.369,13;0.722;2.907,12;2.023.752,51;1.367,00;0.663;0.821;07/06/2024 23:15:33
5200258;Águas Lindas de Goiás;Centro-Oeste;GO;Entorno de Brasília;188,38;217.698;63.025,24;1.884.407,89;0.686;3.081,68;194.223.364,73;50.745,00;0.588;0.848;01/06/2024 01:40:00
5200308;Alexânia;Centro-Oeste;GO;Entorno de Brasília;847,89;28.010;9.091,42;811.322,77;0.682;2.986,65;27.152.869,08;16.629,00;0.568;0.841;01/06/2024 01:40:00
5200506;Aloândia;Centro-Oeste;GO;Meia Ponte;102,16;1.986;808,16;41.840,87;0.697;2.987,14;2.414.072,87;1.041,00;0.585;0.834;01/06/2024 01:40:00
5200555;Alto Horizonte;Centro-Oeste;GO;Porangatu;503,76;6.605;2.222,46;913.009,78;0.719;3.524,40;7.832.857,36;6.581,00;0.624;0.841;01/06/2024 01:40:00
5200605;Alto Paraíso de Goiás;Centro-Oeste;GO;Chapada dos Veadeiros;2.593,9;7.688;2.458,01;167.586,12;0.713;3.313,49;8.144.587,85;4.139,00;0.611;0.819;01/06/2024 01:40:00
5200803;Alvorada do Norte;Centro-Oeste;GO;Vão do Paranã;1.259,36;8.705;2.707,39;128.606,34;0.66;2.753,45;7.454.656,74;3.410,00;0.548;0.819;01/06/2024 01:40:00
